položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
84,Gurgl – Obergurgl-Hochgurgl,Europe,Austria,4.5,1237.0,112.2,60.2,33.2,18.8,25
85,Panorama,North America,Canada,4.4,1215.0,112.0,31.2,24.8,56.0,10
86,Nassfeld – Hermagor,Europe,Austria,4.4,1402.0,110.0,30.0,69.0,11.0,30
87,Banff Sunshine,North America,Canada,4.0,1070.0,109.0,25.0,50.0,34.0,12
88,Mondolè Ski – Artesina/Frabosa Soprana/Prato Nevoso,Europe,Italy,3.6,1278.0,105.3,42.7,51.0,11.6,25
89,Big White,North America,Canada,4.3,777.0,105.0,18.9,56.7,29.4,12
89,Saint-Lary-Soulan,Europe,France,4.2,918.0,105.0,60.0,35.0,10.0,24
89,Arapahoe Basin,North America,USA,3.6,504.0,105.0,40.0,25.0,40.0,9
92,Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,Europe,Switzerland,4.4,1024.0,104.0,42.0,50.0,12.0,35
93,Snowbird,North America,USA,4.1,988.0,103.0,28.0,39.0,36.0,14
93,Bad Kleinkirchheim,Europe,Austria,3.8,968.0,103.0,11.0,84.0,8.0,24
93,Aspen Mountain,North America,USA,3.6,996.0,103.0,0.0,49.0,54.0,9
96,Kleine Scheidegg/Männlichen – Grindelwald/Wengen,Europe,Switzerland,4.2,1456.0,102.0,33.0,56.0,13.0,23
96,Rosa Khutor,Europe,Russia,3.6,1569.0,102.0,62.0,24.0,16.0,27
98,Obertauern,Europe,Austria,4.4,683.0,100.0,61.0,35.0,4.0,26
98,Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale),Europe,Italy,4.2,1879.0,100.0,24.0,60.0,16.0,30
98,Saas-Fee,Europe,Switzerland,4.0,1773.0,100.0,20.0,60.0,20.0,23
98,Kicking Horse – Golden,North America,Canada,3.9,1260.0,100.0,20.0,20.0,60.0,5
98,Grand Tourmalet/Pic du Midi – La Mongie/Barèges,Europe,France,3.7,1250.0,100.0,58.0,35.0,7.0,30
98,Dévoluy – Superdévoluy/La Joue du Loup,Europe,France,3.7,1000.0,100.0,55.0,35.0,10.0,21
98,Les Orres,Europe,France,3.7,1170.0,100.0,30.0,60.0,10.0,17
98,Orcières Merlette 1850,Europe,France,3.6,875.0,100.0,18.0,68.0,14.0,28
98,Bardonecchia,Europe,Italy,3.6,1488.0,100.0,54.0,38.0,8.0,22
98,Wolf Creek,North America,USA,3.5,489.0,100.0,20.0,35.0,45.0,11
98,Mt. Baker,North America,USA,3.4,455.0,100.0,24.0,45.0,31.0,10
109,Mt. Bachelor,North America,USA,3.7,1026.0,98.9,14.8,24.7,59.4,15
110,Northstar California Resort,North America,USA,3.7,695.0,97.0,25.0,45.0,27.0,19
111,Ski Juwel Alpbachtal Wildschönau,Europe,Austria,4.3,1200.0,96.7,31.1,52.9,12.7,45
112,Parsenn (Davos Klosters),Europe,Switzerland,4.2,2034.0,95.5,17.3,60.5,17.7,18
113,Schweitzer Mountain Resort,North America,USA,3.6,744.0,95.0,20.0,40.0,35.0,10
114,Heavenly,North America,USA,4.1,1059.0,94.0,18.0,42.0,34.0,27
114,Castle Mountain,North America,Canada,3.7,870.0,94.0,9.0,20.0,65.0,6
116,Loveland,North America,USA,3.3,626.0,93.0,12.0,38.0,43.0,10
